Jour,date,S,I,R,D,S_abs,I_abs,R_abs,D_abs,V,V_abs,lits_par_mille
130,2020-05-13,0.9998557354742591,5.409490663045206e-05,8.535279261065406e-05,4.816826499877393e-06,37452572.14285714,2026.2857142857142,3197.1428571428573,180.42857142857142,0.0,0.0,1.1
131,2020-05-14,0.9998512313791709,5.39766789016348e-05,8.992553605748938e-05,4.866405870026568e-06,37452403.428571425,2021.857142857143,3368.4285714285716,182.28571428571428,0.0,0.0,1.1
132,2020-05-15,0.9998467272840826,5.385845117281754e-05,9.449827950432468e-05,4.915985240175741e-06,37452234.71428572,2017.4285714285713,3539.714285714286,184.14285714285714,0.0,0.0,1.1
133,2020-05-16,0.9998422231889945,5.3740223444000285e-05,9.907102295115999e-05,4.965564610324915e-06,37452066.0,2013.0,3711.0,186.0,0.0,0.0,1.1
134,2020-05-17,0.9998390539231027,5.373640964629651e-05,0.0001022212198544844,4.98844739654761e-06,37451947.28571428,2012.857142857143,3829.0,186.85714285714286,0.0,0.0,1.1
135,2020-05-18,0.9998358846572107,5.373259584859272e-05,0.00010537141675780882,5.011330182770305e-06,37451828.571428575,2012.7142857142858,3947.0,187.71428571428572,0.0,0.0,1.1
136,2020-05-19,0.999832715391319,5.372878205088894e-05,0.00010852161366113321,5.034212968993001e-06,37451709.85714286,2012.5714285714287,4065.0,188.57142857142858,0.0,0.0,1.1
137,2020-05-20,0.9998295461254271,5.372496825318515e-05,0.00011167181056445762,5.057095755215696e-06,37451591.14285714,2012.4285714285713,4183.0,189.42857142857142,0.0,0.0,1.1
138,2020-05-21,0.9998263768595352,5.372115445548138e-05,0.00011482200746778203,5.079978541438392e-06,37451472.428571425,2012.2857142857142,4301.0,190.28571428571428,0.0,0.0,1.1
139,2020-05-22,0.9998232075936434,5.371734065777759e-05,0.00011797220437110645,5.102861327661086e-06,37451353.71428572,2012.142857142857,4419.0,191.14285714285714,0.0,0.0,1.1
140,2020-05-23,0.9998200383277516,5.37135268600738e-05,0.00012112240127443085,5.1257441138837825e-06,37451235.0,2012.0,4537.0,192.0,0.0,0.0,1.1
141,2020-05-24,0.9998175021522785,5.1745607244921996e-05,0.00012560361357637537,5.148626900106478e-06,37451140.0,1938.2857142857142,4704.857142857143,192.85714285714286,0.0,0.0,1.1
142,2020-05-25,0.9998149659768056,4.977768762977018e-05,0.0001300848258783199,5.171509686329174e-06,37451045.0,1864.5714285714287,4872.714285714285,193.71428571428572,0.0,0.0,1.1
143,2020-05-26,0.9998124298013324,4.7809768014618376e-05,0.00013456603818026445,5.194392472551868e-06,37450950.0,1790.857142857143,5040.571428571428,194.57142857142858,0.0,0.0,1.1
144,2020-05-27,0.9998098936258595,4.5841848399466576e-05,0.00013904725048220895,5.217275258774564e-06,37450855.0,1717.142857142857,5208.428571428572,195.42857142857142,0.0,0.0,1.1
145,2020-05-28,0.9998073574503865,4.3873928784314755e-05,0.00014352846278415347,5.24015804499726e-06,37450760.0,1643.4285714285713,5376.285714285715,196.28571428571428,0.0,0.0,1.1
146,2020-05-29,0.9998048212749134,4.190600916916295e-05,0.00014800967508609802,5.263040831219956e-06,37450665.0,1569.7142857142858,5544.142857142857,197.14285714285714,0.0,0.0,1.1
147,2020-05-30,0.9998022850994405,3.993808955401114e-05,0.00015249088738804255,5.285923617442651e-06,37450570.0,1496.0,5712.0,198.0,0.0,0.0,1.1
148,2020-05-31,0.9998008587390993,3.81951840033825e-05,0.0001556372704936632,5.3088064036653464e-06,37450516.571428575,1430.7142857142858,5829.857142857143,198.85714285714286,0.0,0.0,1.1
149,2020-06-01,0.999799432378758,3.645227845275387e-05,0.00015878365359928379,5.331689189888042e-06,37450463.14285714,1365.4285714285713,5947.714285714285,199.71428571428572,0.0,0.0,1.1
150,2020-06-02,0.999798006018417,3.470937290212523e-05,0.0001619300367049044,5.354571976110737e-06,37450409.71428572,1300.142857142857,6065.571428571428,200.57142857142858,0.0,0.0,1.1
151,2020-06-03,0.9997965796580756,3.296646735149659e-05,0.00016507641981052505,5.3774547623334334e-06,37450356.28571428,1234.857142857143,6183.428571428572,201.42857142857142,0.0,0.0,1.1
152,2020-06-04,0.9997951532977344,3.1223561800867955e-05,0.00016822280291614567,5.400337548556127e-06,37450302.85714286,1169.5714285714287,6301.285714285715,202.28571428571428,0.0,0.0,1.1
153,2020-06-05,0.9997937269373933,2.9480656250239316e-05,0.0001713691860217663,5.423220334778823e-06,37450249.428571425,1104.2857142857142,6419.142857142857,203.14285714285714,0.0,0.0,1.1
154,2020-06-06,0.999792300577052,2.773775069961068e-05,0.0001745155691273869,5.446103121001519e-06,37450196.0,1039.0,6537.0,204.0,0.0,0.0,1.1
155,2020-06-07,0.9997908856581039,2.66164941746986e-05,0.0001770364894095872,5.461358311816649e-06,37450143.0,997.0,6631.428571428572,204.57142857142858,0.0,0.0,1.1
156,2020-06-08,0.9997894707391559,2.5495237649786523e-05,0.00017955740969178747,5.476613502631779e-06,37450090.0,955.0,6725.857142857143,205.14285714285714,0.0,0.0,1.1
157,2020-06-09,0.9997880558202077,2.4373981124874444e-05,0.00018207832997398776,5.4918686934469095e-06,37450037.0,913.0,6820.285714285715,205.71428571428572,0.0,0.0,1.1
158,2020-06-10,0.9997866409012596,2.325272459996237e-05,0.00018459925025618806,5.50712388426204e-06,37449984.0,871.0,6914.714285714285,206.28571428571428,0.0,0.0,1.1
159,2020-06-11,0.9997852259823115,2.213146807505029e-05,0.00018712017053838833,5.522379075077172e-06,37449931.0,829.0,7009.142857142857,206.85714285714286,0.0,0.0,1.1
160,2020-06-12,0.9997838110633633,2.1010211550138217e-05,0.0001896410908205886,5.537634265892301e-06,37449878.0,787.0,7103.571428571428,207.42857142857142,0.0,0.0,1.1
161,2020-06-13,0.9997823961444153,1.9888955025226138e-05,0.0001921620111027889,5.5528894567074314e-06,37449825.0,745.0,7198.0,208.0,0.0,0.0,1.1
162,2020-06-14,0.9997803328798576,2.0525859241757827e-05,0.00019357311625318847,5.568144647522562e-06,37449747.71428572,768.8571428571429,7250.857142857143,208.57142857142858,0.0,0.0,1.1
163,2020-06-15,0.9997782696152998,2.1162763458289516e-05,0.000194984221403588,5.583399838337693e-06,37449670.428571425,792.7142857142857,7303.714285714285,209.14285714285714,0.0,0.0,1.1
164,2020-06-16,0.9997762063507422,2.179966767482121e-05,0.00019639532655398752,5.598655029152822e-06,37449593.14285714,816.5714285714286,7356.571428571428,209.71428571428572,0.0,0.0,1.1
165,2020-06-17,0.9997741430861843,2.24365718913529e-05,0.0001978064317043871,5.613910219967953e-06,37449515.85714286,840.4285714285714,7409.428571428572,210.28571428571428,0.0,0.0,1.1
166,2020-06-18,0.9997720798216266,2.307347610788459e-05,0.0001992175368547867,5.629165410783083e-06,37449438.571428575,864.2857142857143,7462.285714285715,210.85714285714286,0.0,0.0,1.1
