Jour,date,S,I,R,D,S_abs,I_abs,R_abs,D_abs,V,V_abs,lits_par_mille
145,2020-05-28,0.9961155687696113,0.0001873217064578917,0.0031426311749934007,0.0005544783489374341,58808145.0,11059.0,185533.0,32735.0,0.0,0.0,3.18
146,2020-05-29,0.9961155687696113,0.0001873217064578917,0.0031426311749934007,0.0005544783489374341,58808145.0,11059.0,185533.0,32735.0,0.0,0.0,3.18
147,2020-05-30,0.9961155687696113,0.0001873217064578917,0.0031426311749934007,0.0005544783489374341,58808145.0,11059.0,185533.0,32735.0,0.0,0.0,3.18
148,2020-05-31,0.9960590453466571,0.00013388107133042554,0.0032423475043104827,0.000564726077701972,58804808.0,7904.0,191420.0,33340.0,0.0,0.0,3.18
149,2020-06-01,0.9960590453466571,0.00013388107133042554,0.0032423475043104827,0.000564726077701972,58804808.0,7904.0,191420.0,33340.0,0.0,0.0,3.18
150,2020-06-02,0.9960590453466571,0.00013388107133042554,0.0032423475043104827,0.000564726077701972,58804808.0,7904.0,191420.0,33340.0,0.0,0.0,3.18
151,2020-06-03,0.9960590453466571,0.00013388107133042554,0.0032423475043104827,0.000564726077701972,58804808.0,7904.0,191420.0,33340.0,0.0,0.0,3.18
152,2020-06-04,0.9960590453466571,0.00013388107133042554,0.0032423475043104827,0.000564726077701972,58804808.0,7904.0,191420.0,33340.0,0.0,0.0,3.18
153,2020-06-05,0.9960590453466571,0.00013388107133042554,0.0032423475043104827,0.000564726077701972,58804808.0,7904.0,191420.0,33340.0,0.0,0.0,3.18
154,2020-06-06,0.9960590453466571,0.00013388107133042554,0.0032423475043104827,0.000564726077701972,58804808.0,7904.0,191420.0,33340.0,0.0,0.0,3.18
155,2020-06-07,0.9960228479972855,9.27207723257527e-05,0.0033111343249927773,0.0005732969053959492,58802671.0,5474.0,195481.0,33846.0,0.0,0.0,3.18
156,2020-06-08,0.9960228479972855,9.27207723257527e-05,0.0033111343249927773,0.0005732969053959492,58802671.0,5474.0,195481.0,33846.0,0.0,0.0,3.18
157,2020-06-09,0.9960228479972855,9.27207723257527e-05,0.0033111343249927773,0.0005732969053959492,58802671.0,5474.0,195481.0,33846.0,0.0,0.0,3.18
158,2020-06-10,0.9960228479972855,9.27207723257527e-05,0.0033111343249927773,0.0005732969053959492,58802671.0,5474.0,195481.0,33846.0,0.0,0.0,3.18
159,2020-06-11,0.9960228479972855,9.27207723257527e-05,0.0033111343249927773,0.0005732969053959492,58802671.0,5474.0,195481.0,33846.0,0.0,0.0,3.18
160,2020-06-12,0.9960228479972855,9.27207723257527e-05,0.0033111343249927773,0.0005732969053959492,58802671.0,5474.0,195481.0,33846.0,0.0,0.0,3.18
161,2020-06-13,0.9960228479972855,9.27207723257527e-05,0.0033111343249927773,0.0005732969053959492,58802671.0,5474.0,195481.0,33846.0,0.0,0.0,3.18
162,2020-06-14,0.995991511967179,6.753337947803727e-05,0.0033599507783802123,0.0005810038749626678,58800821.0,3987.0,198363.0,34301.0,0.0,0.0,3.18
163,2020-06-15,0.995991511967179,6.753337947803727e-05,0.0033599507783802123,0.0005810038749626678,58800821.0,3987.0,198363.0,34301.0,0.0,0.0,3.18
